#FIELD,ID,P_merg,dr7objid_1,galcount,TType,objID,RA,Dec,X,Y,PhotoFlag,simple_class
STRIPE82-0030,SPLUS.STRIPE82-0030.07622.griz,0.9815818071365356,587731513142804607,149258,1.947678804397583,587731513142804607,19.198,0.3113,9719.671,2956.055,2,Ei
STRIPE82-0030,SPLUS.STRIPE82-0030.08342.griz,0.9970717430114746,587731513142870131,149261,-2.491142749786377,587731513142870131,19.2488,0.3268,9387.118,3057.548,3,Er
STRIPE82-0030,SPLUS.STRIPE82-0030.34793.griz,0.9502923488616943,587731514217070719,150556,-1.7379933595657349,587731514217070719,20.3795,1.2501,1986.0539999999999,9101.366,3,Ei
STRIPE82-0030,SPLUS.STRIPE82-0030.11801.griz,0.9980223178863525,588015509814902897,563109,-0.940677285194397,588015509814902897,19.7668,0.4418,5996.241,3810.447,3,Ei
STRIPE82-0031,SPLUS.STRIPE82-0031.08549.griz,0.9989297986030579,587731511532847238,147108,-2.218151092529297,587731511532847238,20.5921,-0.9985,9870.449,3545.913,3,Er
STRIPE82-0031,SPLUS.STRIPE82-0031.19381.griz,0.9703288078308105,587731512606982320,148618,3.4311227798461914,587731512606982320,21.5956,-0.1644,3302.605,9006.216999999999,2,Er
STRIPE82-0031,SPLUS.STRIPE82-0031.13044.griz,0.9784626960754395,588015508204683405,559803,-2.1613497734069824,588015508204683405,20.6523,-0.8139,9476.659,4754.713,3,Ei
STRIPE82-0032,SPLUS.STRIPE82-0032.14567.griz,0.9794018268585205,587731513680789538,149953,-2.0125269889831543,587731513680789538,21.6312,0.6979,3069.8579999999997,5486.686,3,Er
STRIPE82-0032,SPLUS.STRIPE82-0032.19382.griz,0.9795389771461487,587731514217267235,150562,4.851858139038086,587731514217267235,20.7538,1.2089,8812.231,8831.677,3,Ec
STRIPE82-0032,SPLUS.STRIPE82-0032.11484.griz,0.9817678928375244,588015509815623839,563131,-2.482481002807617,588015509815623839,21.4664,0.5579999999999999,4148.526,4571.085999999999,3,Ei
